id,gini,income_group,perception,condition,ideology,education,income,religion,gender,age,hispanic,ethnicity,income_group_code
0,0.2,rich,30.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,1
0,0.6,others,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,3
0,0.5,others,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,3
0,0.4,others,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,3
0,0.3,others,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,3
0,0.2,others,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,3
0,0.7,poor,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,2
0,0.6,poor,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,2
0,0.5,poor,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,2
0,0.7,others,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,3
0,0.3,poor,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,2
0,0.2,poor,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,2
0,0.7,rich,30.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,1
0,0.6,rich,30.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,1
0,0.5,rich,30.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,1
0,0.4,rich,30.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,1
0,0.3,rich,30.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,1
0,0.4,poor,35.0,country,Neutral,High school graduate,"40,000 - 49,999",Catholic,Female,77,No,White,2
2,0.6,others,60.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,3
2,0.2,rich,15.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,1
2,0.3,rich,15.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,1
2,0.4,rich,15.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,1
2,0.5,rich,15.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,1
2,0.6,rich,15.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,1
2,0.7,rich,15.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,1
2,0.2,poor,25.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,2
2,0.3,poor,25.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,2
2,0.4,poor,25.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,2
2,0.5,poor,25.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,2
2,0.6,poor,25.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,2
2,0.7,poor,25.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,2
2,0.2,others,60.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,3
2,0.3,others,60.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,3
2,0.4,others,60.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,3
2,0.7,others,60.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,3
2,0.5,others,60.0,country,Liberal,Four-year college degree,"90,000 - 99,999",Catholic,Male,50,No,White,3
3,0.2,rich,40.0,country,Conservative,Some college,"30,000 - 39,999",Protestant,Female,66,No,White,1
3,0.5,poor,10.0,country,Conservative,Some college,"30,000 - 39,999",Protestant,Female,66,No,White,2
3,0.4,others,70.0,country,Conservative,Some college,"30,000 - 39,999",Protestant,Female,66,No,White,3
3,0.3,others,40.0,country,Conservative,Some college,"30,000 - 39,999",Protestant,Female,66,No,White,3
3,0.2,others,20.0,country,Conservative,Some college,"30,000 - 39,999",Protestant,Female,66,No,White,3
3,0.7,poor,15.0,country,Conservative,Some college,"30,000 - 39,999",Protestant,Female,66,No,White,2
